[0.000000] (-) TimerEvent: {}
[0.000144] (-) JobUnselected: {'identifier': 'audio_capture'}
[0.000176] (-) JobUnselected: {'identifier': 'audio_common'}
[0.000222] (-) JobUnselected: {'identifier': 'audio_common_msgs'}
[0.000254] (-) JobUnselected: {'identifier': 'audio_play'}
[0.000280] (-) JobUnselected: {'identifier': 'bme280'}
[0.000339] (-) JobUnselected: {'identifier': 'flir_lepton_capture'}
[0.000365] (-) JobUnselected: {'identifier': 'flir_lepton_data_processor'}
[0.000396] (-) JobUnselected: {'identifier': 'flir_lepton_msgs'}
[0.000434] (-) JobUnselected: {'identifier': 'flir_lepton_purethermal2'}
[0.000457] (-) JobUnselected: {'identifier': 'gscam'}
[0.000481] (-) JobUnselected: {'identifier': 'm2s2_bringup'}
[0.000509] (-) JobUnselected: {'identifier': 'm2s2_custom_interfaces'}
[0.000537] (-) JobUnselected: {'identifier': 'm2s2_test_python'}
[0.000565] (-) JobUnselected: {'identifier': 'my_cpp_pkg'}
[0.000593] (-) JobUnselected: {'identifier': 'my_python_pkg'}
[0.000621] (-) JobUnselected: {'identifier': 'my_robot_bringup'}
[0.000649] (-) JobUnselected: {'identifier': 'my_robot_interfaces'}
[0.000716] (-) JobUnselected: {'identifier': 'sound_play'}
[0.000752] (-) JobUnselected: {'identifier': 'v4l2_camera'}
[0.001023] (-) EventReactorShutdown: {}
